fileName	TOKEN	TOKEN_VOC	POS	LEMMA	LEMMA_VOC
00_Rassismus_Wikipedia.docx.txt	عنصرية	عُنْصُرِيَّة	noun	عنصرية	عُنْصُرِيَّة
00_Rassismus_Wikipedia.docx.txt	العنصرية	العُنْصُرِيَّة	noun	عنصرية	عُنْصُرِيَّة
00_Rassismus_Wikipedia.docx.txt	هي	هِيَ	pron	هي	هِيَ
00_Rassismus_Wikipedia.docx.txt	الاعتقاد	الاِعْتِقادُ	noun	ٱعتقاد	ٱِعْتِقاد
00_Rassismus_Wikipedia.docx.txt	بان	بان	noun	باني	بانِي
00_Rassismus_Wikipedia.docx.txt	هناك	هُناكَ	adv	هناك	هُناكَ
00_Rassismus_Wikipedia.docx.txt	فروقا	فَرُوقاً	noun	فروق	فَرُوق
00_Rassismus_Wikipedia.docx.txt	وعناصر	وَعَناصِرُ	noun	عنصر	عُنْصُر
00_Rassismus_Wikipedia.docx.txt	موروثة	مَوْرُوثَةٌ	adj	موروث	مَوْرُوث
00_Rassismus_Wikipedia.docx.txt	بطبائع	بِطَبائِعِ	noun	طبيعة	طَبِيعَة
00_Rassismus_Wikipedia.docx.txt	الناس	الناسِ	noun	ناس	ناس
00_Rassismus_Wikipedia.docx.txt	و	وَ	conj	و	وَ
00_Rassismus_Wikipedia.docx.txt	/	/	punc	/	/
00_Rassismus_Wikipedia.docx.txt	أو	أَو	conj	أو	أَو
00_Rassismus_Wikipedia.docx.txt	قدراتهم	قُدْراتِهِم	noun	قدرة	قُدْرَة
00_Rassismus_Wikipedia.docx.txt	وعزوها	وَعَزَوْها	verb	عزا	عَزا
00_Rassismus_Wikipedia.docx.txt	لانتمائهم	لِاِنْتِمائِهِم	noun	ٱنتماء	ٱِنْتِماء
00_Rassismus_Wikipedia.docx.txt	لجماعة	لِجَماعَةٍ	noun	جماعة	جَماعَة
00_Rassismus_Wikipedia.docx.txt	أو	أَو	conj	أو	أَو
00_Rassismus_Wikipedia.docx.txt	لعرق	لِعَرَقٍ	noun	عرق	عَرَق
00_Rassismus_Wikipedia.docx.txt	ما	ما	pron_rel	ما	ما
00_Rassismus_Wikipedia.docx.txt	(	(	punc	(	(
00_Rassismus_Wikipedia.docx.txt	بغض	بُغْض	noun	بغض	بُغْض
00_Rassismus_Wikipedia.docx.txt	النظر	النَظَرُ	noun	نظر	نَظَر
00_Rassismus_Wikipedia.docx.txt	عن	عَن	prep	عن	عَن
00_Rassismus_Wikipedia.docx.txt	كيفية	كَيْفِيَّة	noun	كيفية	كَيْفِيَّة
00_Rassismus_Wikipedia.docx.txt	تعريف	تَعْرِيفُ	noun	تعريف	تَعْرِيف
00_Rassismus_Wikipedia.docx.txt	مفهوم	مَفْهُومِ	noun	مفهوم	مَفْهُوم
00_Rassismus_Wikipedia.docx.txt	العرق	العَرَقِ	noun	عرق	عَرَق
00_Rassismus_Wikipedia.docx.txt	)	)	punc	)	)
00_Rassismus_Wikipedia.docx.txt	وبالتألي	وَبِالتَأَلِّي	noun	تألي	تَأَلِّي
00_Rassismus_Wikipedia.docx.txt	تبرير	تَبْرِيرُ	noun	تبرير	تَبْرِير
00_Rassismus_Wikipedia.docx.txt	معاملة	مُعامَلَةِ	noun	معاملة	مُعامَلَة
00_Rassismus_Wikipedia.docx.txt	الأفراد	الأَفْرادِ	noun	فرد	فَرْد
00_Rassismus_Wikipedia.docx.txt	المنتمين	المُنْتَمِينَ	noun	منتمي	مُنْتَمِي
00_Rassismus_Wikipedia.docx.txt	لهذه	لِهٰذِهِ	pron_dem	هذا	هٰذا
00_Rassismus_Wikipedia.docx.txt	الجماعة	الجَماعَةِ	noun	جماعة	جَماعَة
00_Rassismus_Wikipedia.docx.txt	بشكل	بِشَكْلٍ	noun	شكل	شَكْل
00_Rassismus_Wikipedia.docx.txt	مختلف	مُخْتَلَفٍ	adj	مختلف	مُخْتَلَف
00_Rassismus_Wikipedia.docx.txt	اجتماعيا	اِجْتِماعِيّاً	adj	ٱجتماعي	ٱِجْتِماعِيّ
00_Rassismus_Wikipedia.docx.txt	وقانونيا	وَقانُونِيّاً	adj	قانوني	قانُونِيّ
00_Rassismus_Wikipedia.docx.txt	.	.	punc	.	.
00_Rassismus_Wikipedia.docx.txt	كما	كَما	conj	كما	كَما
00_Rassismus_Wikipedia.docx.txt	يستخدم	يُسْتَخْدَم	verb	ٱستخدم	ٱِسْتَخْدَم
00_Rassismus_Wikipedia.docx.txt	المصطلح	المُصْطَلَحُ	noun	مصطلح	مُصْطَلَح
00_Rassismus_Wikipedia.docx.txt	للإشارة	لِلإِشارَةِ	noun	إشارة	إِشارَة
00_Rassismus_Wikipedia.docx.txt	إلى	إِلَى	prep	إلى	إِلَى
00_Rassismus_Wikipedia.docx.txt	الممارسات	المُمارَساتِ	noun	ممارسة	مُمارَسَة
00_Rassismus_Wikipedia.docx.txt	التي	الَّتِي	pron_rel	الذي	الَّذِي
00_Rassismus_Wikipedia.docx.txt	تتم	تتم	noun_prop	تتم	تتم
00_Rassismus_Wikipedia.docx.txt	من	مِن	prep	من	مِن
00_Rassismus_Wikipedia.docx.txt	خلالها	خلالها	noun_prop	خلالها	خلالها
00_Rassismus_Wikipedia.docx.txt	معاملة	مُعامَلَةُ	noun	معاملة	مُعامَلَة
00_Rassismus_Wikipedia.docx.txt	مجموعة	مَجْمُوعَةٍ	noun	مجموعة	مَجْمُوعَة
00_Rassismus_Wikipedia.docx.txt	معينة	مُعِينَة	noun	معين	مُعِين
00_Rassismus_Wikipedia.docx.txt	من	مِن	prep	من	مِن
00_Rassismus_Wikipedia.docx.txt	البشر	البَشَرِ	noun	بشر	بَشَر
00_Rassismus_Wikipedia.docx.txt	بشكل	بِشَكْلٍ	noun	شكل	شَكْل
00_Rassismus_Wikipedia.docx.txt	مختلف	مُخْتَلَفٍ	adj	مختلف	مُخْتَلَف
00_Rassismus_Wikipedia.docx.txt	،	،	punc	،	،
00_Rassismus_Wikipedia.docx.txt	ويتم	ويتم	noun_prop	ويتم	ويتم
00_Rassismus_Wikipedia.docx.txt	تبرير	تَبْرِيرُ	noun	تبرير	تَبْرِير
00_Rassismus_Wikipedia.docx.txt	هذا	هٰذا	pron_dem	هذا	هٰذا
00_Rassismus_Wikipedia.docx.txt	التمييز	التَمْيِيزِ	noun	تمييز	تَمْيِيز
00_Rassismus_Wikipedia.docx.txt	بالمعاملة	بِالمُعامَلَةِ	noun	معاملة	مُعامَلَة
00_Rassismus_Wikipedia.docx.txt	باللجوء	بِاللُجُوءِ	noun	لجوء	لُجُوء
00_Rassismus_Wikipedia.docx.txt	إلى	إِلَى	prep	إلى	إِلَى
00_Rassismus_Wikipedia.docx.txt	التعميمات	التَعْمِيماتِ	noun	تعميم	تَعْمِيم
00_Rassismus_Wikipedia.docx.txt	المبنيه	المبنيه	noun_prop	المبنيه	المبنيه
00_Rassismus_Wikipedia.docx.txt	على	عَلَى	prep	على	عَلَى
00_Rassismus_Wikipedia.docx.txt	الصور	الصُوَرِ	noun	صورة	صُورَة
00_Rassismus_Wikipedia.docx.txt	النمطيه	النمطيه	noun_prop	النمطيه	النمطيه
00_Rassismus_Wikipedia.docx.txt	وباللجوء	وَبِاللُجُوءِ	noun	لجوء	لُجُوء
00_Rassismus_Wikipedia.docx.txt	إلى	إِلَى	prep	إلى	إِلَى
00_Rassismus_Wikipedia.docx.txt	تلفيقات	تَلْفِيقاتٍ	noun	تلفيقة	تَلْفِيقَة
00_Rassismus_Wikipedia.docx.txt	علمية	عِلْمِيَّة	adj	علمي	عِلْمِيّ
00_Rassismus_Wikipedia.docx.txt	.	.	punc	.	.
00_Rassismus_Wikipedia.docx.txt	وهي	وَهِيَ	pron	هي	هِيَ
00_Rassismus_Wikipedia.docx.txt	كل	كُلّ	noun	كل	كُلّ
00_Rassismus_Wikipedia.docx.txt	شعور	شُعُورٌ	noun	شعور	شُعُور
00_Rassismus_Wikipedia.docx.txt	بالتفوق	بِالتَفَوُّق	noun	تفوق	تَفَوُّق
00_Rassismus_Wikipedia.docx.txt	أو	أَو	conj	أو	أَو
00_Rassismus_Wikipedia.docx.txt	سلوك	سُلُوكٌ	noun	سلوك	سُلُوك
00_Rassismus_Wikipedia.docx.txt	أو	أَو	conj	أو	أَو
00_Rassismus_Wikipedia.docx.txt	ممارسة	مُمارَسَةٌ	noun	ممارسة	مُمارَسَة
00_Rassismus_Wikipedia.docx.txt	أو	أَو	conj	أو	أَو
00_Rassismus_Wikipedia.docx.txt	سياسة	سِياسَةٌ	noun	سياسة	سِياسَة
00_Rassismus_Wikipedia.docx.txt	تقوم	تَقُوم	verb	قام	قام
00_Rassismus_Wikipedia.docx.txt	على	عَلَى	prep	على	عَلَى
00_Rassismus_Wikipedia.docx.txt	الأقصاء	الأَقْصاءِ	noun	قصي	قَصِيّ
00_Rassismus_Wikipedia.docx.txt	والتهميش	وَالتَهْمِيشِ	noun	تهميش	تَهْمِيش
00_Rassismus_Wikipedia.docx.txt	والتمييز	وَالتَمْيِيزِ	noun	تمييز	تَمْيِيز
00_Rassismus_Wikipedia.docx.txt	بين	بَيِّنَ	noun	بين	بَيِّن
00_Rassismus_Wikipedia.docx.txt	البشر	البَشَرِ	noun	بشر	بَشَر
00_Rassismus_Wikipedia.docx.txt	على	عَلَى	prep	على	عَلَى
00_Rassismus_Wikipedia.docx.txt	أساس	أَساسِ	noun	أساس	أَساس
00_Rassismus_Wikipedia.docx.txt	اللون	اللَوْنِ	noun	لون	لَوْن
00_Rassismus_Wikipedia.docx.txt	أو	أَو	conj	أو	أَو
00_Rassismus_Wikipedia.docx.txt	الانتماء	الاِنْتِماءِ	noun	ٱنتماء	ٱِنْتِماء
00_Rassismus_Wikipedia.docx.txt	القومي	القَوْمِيّ	adj	قومي	قَوْمِيّ
00_Rassismus_Wikipedia.docx.txt	أو	أَو	conj	أو	أَو
00_Rassismus_Wikipedia.docx.txt	العرقي	العِرْقِيّ	adj	عرقي	عِرْقِيّ
00_Rassismus_Wikipedia.docx.txt	.	.	punc	.	.
00_Rassismus_Wikipedia.docx.txt	أولئك	أُولَئِكَ	pron_dem	أولائك	أُولائِكَ
00_Rassismus_Wikipedia.docx.txt	الذين	الَّذِينَ	pron_rel	الذي	الَّذِي
00_Rassismus_Wikipedia.docx.txt	ينفون	يَنِفُّونَ	verb	نف	نَفّ
00_Rassismus_Wikipedia.docx.txt	أن	أَن	conj_sub	أن	أَنْ
00_Rassismus_Wikipedia.docx.txt	يكون	يَكُون	verb	كان	كان
00_Rassismus_Wikipedia.docx.txt	هناك	هُناكَ	adv	هناك	هُناكَ
00_Rassismus_Wikipedia.docx.txt	مثل	مَثَلَ	noun	مثل	مَثَل
00_Rassismus_Wikipedia.docx.txt	هذه	هٰذِهِ	pron_dem	هذا	هٰذا
00_Rassismus_Wikipedia.docx.txt	الصفات	الصِفاتِ	noun	صفة	صِفَة
00_Rassismus_Wikipedia.docx.txt	الموروثة	المَوْرُوثَةِ	adj	موروث	مَوْرُوث
00_Rassismus_Wikipedia.docx.txt	(	(	punc	(	(
00_Rassismus_Wikipedia.docx.txt	صفات	صِفاتُ	noun	صفة	صِفَة
00_Rassismus_Wikipedia.docx.txt	اجتماعية	اِجْتِماعِيَّة	adj	ٱجتماعي	ٱِجْتِماعِيّ
00_Rassismus_Wikipedia.docx.txt	وثقافية	وَثَقافِيَّة	adj	ثقافي	ثَقافِيّ
00_Rassismus_Wikipedia.docx.txt	غير	غَيْرُ	noun	غير	غَيْر
00_Rassismus_Wikipedia.docx.txt	شخصية	شَخْصِيَّة	noun	شخصية	شَخْصِيَّة
00_Rassismus_Wikipedia.docx.txt	)	)	punc	)	)
00_Rassismus_Wikipedia.docx.txt	يعتبرون	يَعْتَبِرُونَ	verb	ٱعتبر	ٱِعْتَبَر
00_Rassismus_Wikipedia.docx.txt	أي	أَيّ	pron_rel	أي	أَيّ
00_Rassismus_Wikipedia.docx.txt	فرق	فَرْقَ	noun	فرق	فَرْق
00_Rassismus_Wikipedia.docx.txt	في	فِي	prep	في	فِي
00_Rassismus_Wikipedia.docx.txt	المعاملة	المُعامَلَةِ	noun	معاملة	مُعامَلَة
00_Rassismus_Wikipedia.docx.txt	بين	بَيِّنَ	noun	بين	بَيِّن
00_Rassismus_Wikipedia.docx.txt	الناس	الناسِ	noun	ناس	ناس
00_Rassismus_Wikipedia.docx.txt	على	عَلَى	prep	على	عَلَى
00_Rassismus_Wikipedia.docx.txt	أساس	أَساسِ	noun	أساس	أَساس
00_Rassismus_Wikipedia.docx.txt	وجود	وُجُودِ	noun	وجود	وُجُود
00_Rassismus_Wikipedia.docx.txt	فروق	فَرُوقٍ	noun	فروق	فَرُوق
00_Rassismus_Wikipedia.docx.txt	من	مِن	prep	من	مِن
00_Rassismus_Wikipedia.docx.txt	هذا	هٰذا	pron_dem	هذا	هٰذا
00_Rassismus_Wikipedia.docx.txt	النوع	النَوْعِ	noun	نوع	نَوْع
00_Rassismus_Wikipedia.docx.txt	تمييزا	تَمْيِيزاً	noun	تمييز	تَمْيِيز
00_Rassismus_Wikipedia.docx.txt	عنصريا	عُنْصُرِيّاً	adj	عنصري	عُنْصُرِيّ
00_Rassismus_Wikipedia.docx.txt	.	.	punc	.	.
00_Rassismus_Wikipedia.docx.txt	بعض	بِعَضِّ	noun	عض	عَضّ
00_Rassismus_Wikipedia.docx.txt	الذين	الَّذِينَ	pron_rel	الذي	الَّذِي
00_Rassismus_Wikipedia.docx.txt	يقولون	يَقُولُونَ	verb	قال	قال
00_Rassismus_Wikipedia.docx.txt	بوجود	بِوُجُودِ	noun	وجود	وُجُود
00_Rassismus_Wikipedia.docx.txt	مثل	مَثَلَ	noun	مثل	مَثَل
00_Rassismus_Wikipedia.docx.txt	هذه	هٰذِهِ	pron_dem	هذا	هٰذا
00_Rassismus_Wikipedia.docx.txt	الفروق	الفَرُوقِ	noun	فروق	فَرُوق
00_Rassismus_Wikipedia.docx.txt	الموروثة	المَوْرُوثَةِ	adj	موروث	مَوْرُوث
00_Rassismus_Wikipedia.docx.txt	يقولون	يَقُولُونَ	verb	قال	قال
00_Rassismus_Wikipedia.docx.txt	أيضا	أَيْضاً	noun	أيض	أَيْض
00_Rassismus_Wikipedia.docx.txt	بان	بان	noun	باني	بانِي
00_Rassismus_Wikipedia.docx.txt	هناك	هُناكَ	adv	هناك	هُناكَ
00_Rassismus_Wikipedia.docx.txt	جماعات	جَماعاتٍ	noun	جماعة	جَماعَة
00_Rassismus_Wikipedia.docx.txt	أو	أَو	conj	أو	أَو
00_Rassismus_Wikipedia.docx.txt	اعراق	اعراق	noun_prop	اعراق	اعراق
00_Rassismus_Wikipedia.docx.txt	أدنى	أَدْنَى	noun	أدنى	أَدْنَى
00_Rassismus_Wikipedia.docx.txt	منزلة	مَنْزِلَةٍ	noun	منزلة	مَنْزِلَة
00_Rassismus_Wikipedia.docx.txt	من	مِن	prep	من	مِن
00_Rassismus_Wikipedia.docx.txt	جماعات	جَماعاتٍ	noun	جماعة	جَماعَة
00_Rassismus_Wikipedia.docx.txt	أو	أَو	conj	أو	أَو
00_Rassismus_Wikipedia.docx.txt	اعراق	اعراق	noun_prop	اعراق	اعراق
00_Rassismus_Wikipedia.docx.txt	أخرى	أُخْرَى	adj	أخرى	أُخْرَى
00_Rassismus_Wikipedia.docx.txt	.	.	punc	.	.
00_Rassismus_Wikipedia.docx.txt	وفي	وَفِي	prep	في	فِي
00_Rassismus_Wikipedia.docx.txt	حالة	حالَةِ	noun	حالة	حالَة
